restaurant_id,restaurant,market_segment,area,rating,latitude,longitude,cuisine
6482,Shawarma Inn - Bakers & Confectionery,Hotel,Anna Nagar West,3.6,13.0862,80.2018,Lebanese
6482,Shawarma Inn - Bakers & Confectionery,Hotel,Anna Nagar West,3.6,13.0862,80.2018,Bakery
6483,Yakshu Cake Palace,Hotel,Avadi,4.0,13.1067,80.097,Bakery
6484,Raj Bhavan Hotel,Hotel,Arumbakkam,4.0,13.0724,80.2102,South Indian
6484,Raj Bhavan Hotel,Hotel,Arumbakkam,4.0,13.0724,80.2102,Chinese
6485,The Biryani Zindagi,Cloud Kitchen,Velachery,3.7,12.9755,80.2207,Chinese
6485,The Biryani Zindagi,Cloud Kitchen,Velachery,3.7,12.9755,80.2207,North Indian
6485,The Biryani Zindagi,Cloud Kitchen,Velachery,3.7,12.9755,80.2207,Biryani
6486,Waffle Shack,Bakery & Sweet Shop,Kilpauk,4.3,13.0828,80.2417,Desserts
6486,Waffle Shack,Bakery & Sweet Shop,Kilpauk,4.3,13.0828,80.2417,Bakery
6487,Snack Eat,Cloud Kitchen,Thuraipakkam,3.6,12.9416,80.2362,Fast Food
6487,Snack Eat,Cloud Kitchen,Thuraipakkam,3.6,12.9416,80.2362,Juices
6488,Salem Thattu Vadai Walaa,Fast Food,Triplicane,3.6,13.0587,80.2757,South Indian
6488,Salem Thattu Vadai Walaa,Fast Food,Triplicane,3.6,13.0587,80.2757,Street Food
6489,Shree Maa Inti Devi Chat,Fast Food,Purasavakkam,3.6,13.0902,80.2543,Street Food
6489,Shree Maa Inti Devi Chat,Fast Food,Purasavakkam,3.6,13.0902,80.2543,Sandwich
6490,A.K.R Canteen And Catering Service,Restaurant,Ambattur,3.6,13.1186,80.1574,South Indian
6491,Hotel Er Annai Chettinadu,Hotel,Ambattur,2.6,13.1186,80.1574,South Indian
6491,Hotel Er Annai Chettinadu,Hotel,Ambattur,2.6,13.1186,80.1574,Chinese
6491,Hotel Er Annai Chettinadu,Hotel,Ambattur,2.6,13.1186,80.1574,Chettinad
6492,Swetha Restaurant,Restaurant,Maduravoyal,3.6,13.0656,80.1608,South Indian
6492,Swetha Restaurant,Restaurant,Maduravoyal,3.6,13.0656,80.1608,Chinese
6493,Hotel Harafa,Hotel,Porur,3.6,13.0382,80.1565,Fast Food
6493,Hotel Harafa,Hotel,Porur,3.6,13.0382,80.1565,South Indian
6494,Nectar,Bar,"Four Points by Sheraton, East Coast Road (ECR)",3.6,12.86,80.247,Finger Food
6495,Chop Up,Restaurant,Madhavaram,3.6,13.1488,80.2306,Lebanese
6495,Chop Up,Restaurant,Madhavaram,3.6,13.1488,80.2306,BBQ
6496,Om Sakthi Hotel,Hotel,Porur,3.6,13.0382,80.1565,South Indian
6497,Starters & Gravies,Restaurant,Selaiyur,3.6,12.9068,80.1425,North Indian
6498,Madurai Jigarthanda,Fast Food,Pallikaranai,3.6,12.9349,80.2137,Burger
6498,Madurai Jigarthanda,Fast Food,Pallikaranai,3.6,12.9349,80.2137,Sandwich
6498,Madurai Jigarthanda,Fast Food,Pallikaranai,3.6,12.9349,80.2137,Fast Food
6498,Madurai Jigarthanda,Fast Food,Pallikaranai,3.6,12.9349,80.2137,Beverages
6499,Anburaj Biryani & Fast Food,Restaurant,Mandaveli,3.4,13.0279,80.2605,Biryani
6499,Anburaj Biryani & Fast Food,Restaurant,Mandaveli,3.4,13.0279,80.2605,Chinese
6500,Biryani Central,Cloud Kitchen,T. Nagar,3.6,13.0418,80.2341,Biryani
6501,Cloud Biriyani,Cloud Kitchen,Madipakkam,3.8,12.9647,80.1961,Biryani
6502,Tarbouche,Restaurant,Thousand Lights,3.9,13.0617,80.2544,Arabian
6503,Dindigul Kilappu Kadai,Restaurant,Anna Nagar East,4.0,13.092,80.2236,Chettinad
6503,Dindigul Kilappu Kadai,Restaurant,Anna Nagar East,4.0,13.092,80.2236,South Indian
6504,Pizza Town,Fast Food,Perungudi,3.6,12.9654,80.2461,Pizza
6505,Jemiammal Tasty Restaurant,Restaurant,St. Thomas Mount,3.6,13.0051,80.1933,South Indian
