outlets,avg_rating,median_rating,latitude,longitude,segment_diversity
50,3.2460000000000004,3.4,12.629148,80.19374,0.6169364046457979
48,3.6291666666666664,3.6,13.087368749999998,80.2676875,0.7320132606542853
48,3.4145833333333333,3.6,12.825160416666668,80.21097291666666,0.7473036241723674
47,3.7297872340425533,3.6,13.039646808510637,80.25043617021277,0.7503122453498068
44,3.602272727272727,3.6,13.02556590909091,80.25192954545454,0.7778442957674434
43,3.6348837209302327,3.6,12.98546511627907,80.22848604651163,0.6668221484586521
43,3.4139534883720932,3.6,13.01205581395349,80.20269534883721,0.7390275130357971
42,3.5476190476190474,3.6,13.056307142857143,80.23302857142856,0.7481064087480286
41,3.368292682926829,3.6,13.079139024390242,80.27347804878049,0.5271209389874683
40,3.3375,3.5,13.06011,80.2619125,0.6312050410629952
40,3.4549999999999996,3.6,13.061112499999998,80.20475,0.8359419163154
38,3.5921052631578947,3.6500000000000004,12.990034210526316,80.21620789473684,0.7479103628948404
37,3.3945945945945946,3.6,12.897575675675675,80.22421351351352,0.5945950608606783
37,3.610810810810811,3.6,12.98118918918919,80.23942702702702,0.7949851911564099
36,3.55,3.6,13.006438888888889,80.22133888888888,0.7846577887465601
36,3.5,3.6,13.043550000000002,80.24191666666667,0.7994709494546842
35,3.531428571428571,3.6,12.893528571428572,80.22366285714286,0.5265356163306655
35,3.4085714285714284,3.6,12.99746,80.19977714285713,0.5667744183698976
34,3.4382352941176473,3.6,12.95285,80.2324294117647,0.6410368780742071
34,3.476470588235294,3.6,13.005997058823528,80.21454705882353,0.6030943597657884
31,3.519354838709677,3.6,13.066803225806451,80.23177741935484,0.5749134589627787
28,3.5107142857142857,3.6,13.016203571428573,80.17949642857141,0.6011048080852167
26,3.5076923076923077,3.6,13.0236,80.21456538461538,0.652519999202796
26,3.215384615384615,3.5,12.991034615384617,80.2258923076923,0.6608095150162817
26,3.5653846153846156,3.6,13.019838461538463,80.23603461538461,0.7147604219242493
25,3.4760000000000004,3.6,13.012536,80.243892,0.7912202298960621
24,3.1458333333333335,3.1500000000000004,12.912975000000001,80.23662083333333,0.6379636622426882
22,3.540909090909091,3.7,13.020100000000001,80.21797272727272,0.7227442977796038
21,3.580952380952381,3.6,13.027661904761905,80.2394,0.5723469271582529
18,3.388888888888889,3.6,12.9157,80.2412611111111,0.7135060187589041
